3-5年,本科及以上,"岗位职责：
1、负责使用大数据和人工智能技术，分析政务、银行、交通等领域的数据，深入挖掘内外部用户需求，理解市场，设计数据应用产品，实现分析建模、报表汇总、成果展示、用户运营等功能；
2、沟通协调项目进度，理清业务和技术的环节，与研发、运营团队紧密协作，推动数据产品落地实施，把控产品质量；

任职资格：
1、全日制大学本科及以上学历，信息科学类相关专业；
2、具有数据使用能力、业务抽象理解能力、需求提炼能力以及项目协调管理能力；
3、熟练掌握SQL、Excel、Python等一种常用数据处理工具，有Axzure、Sketch、墨刀等原型设计软件的经验；
4、有良好的逻辑思维能力，较强的沟通能力和团队合作精神，能承担工作压力；

优先条件:
1、有智慧政务、数字政府、智慧城市、智能投顾等领域项目经验者优先
2、有分布式存储计算、数据挖掘、数据治理等项目经验者优先",北京,建信金融科技有限责任公司,今天 15:05,大数据分析师,16k-30k
3-5年,本科及以上,"岗位职责
1.使用统计学分析方法，挖掘算法，构建数据分析模型来驱动增长和运营，支持现有业务并适应业务的不断拓展； 
2.进行项目评估，效果评估；响应产品，运营，市场等部门的数据分析工作；进行数据异常和波动诊断等数据分析和支持工作；
3.根据用户行为和车辆数据在不同时间的变化进行数据分析和策略优化，通过建立模型来驱动增长和运营； 
4.调研数据需求，进行指标设计，数据维度，指标关系等数据指标体系建立的工作；
5.定期进行行业数据分析报告，市场分析报告，产品报告和用户行为分析的报告发布。
 
岗位要求
1.本科及以上学历，数学、计算机或经济等相关专业； 
2.3年以上工作经验，互联网，咨询公司，零售或O2O行业商业分析，数据分析，财务分析背景；
3.至少用数据分析支持过一条业务线； 
4.熟练使用数据软件和SQL语言； 
5.学习和适应能力强，具有团队协作意识；
6.具备良好的逻辑分析能力和系统性思维能力，良好的跨团队的沟通能力，良好的数据呈现能力和观点演说能力。",北京,北京三快在线科技有限公司,今天 16:21,数据分析,10k-20k
1-3年,本科及以上,"职责描述：
1.完善业务数据监控体系，进行新功能指标埋点逻辑设计，搭建分析框架，使业务运营情况数据化呈现；
2.深入了解业务，基于数据监控及分析研究，发现业务中的问题，同时能够解构问题、分析问题，给出有效改善的建议，并能输出分析报告；
3.支持业务进行临时数据统计工作，并可从需求中提取业务目的，提高业务效率。
4.与技术部门密切协作，确保统计需求准确落地以及线上统计无异常。
岗位要求：
1.本科及以上学历，数学、统计学、计算机科学等相关专业优先；
2.移动互联网公司至少1年工作经验，数据分析、BI等相关经验优先；
3.熟练使用SQL语言，熟练掌握Excel、SAS、SPSS、R等任一数据分析工具；
4.较强的沟通推进能力、清晰的表达能力、较强的独立思考能力；
5.自我成长欲望强。",北京,北京音娱时光科技有限公司,今天 17:31,数据分析,10k-18k
3-5年,本科及以上,"工作内容：
1、负责业务线日常数据整理、统计分析、报表维护，根据业务定期完成日报、周报、月报等报表开发
2、构建产品、运营及活动数据评估体系，针对不同业务精细化需求，独立完成专题的统计分析
3、持续完善各项业务数据的统计模型，对系统化数据报表提出合理优化建议
4、设计数据采集的埋点方案，实现可视化
岗位要求：
1、本科以上学历，统计学、数学、社会学、计算机等相关专业；
2、三年以上相关工作经历，有丰富的数据分析、挖掘、清洗和建模的经验；
3、备较强独立思考能力和逻辑思维能力，沟通表达能力强，善于跨部门协调沟通；
4、有良好数据敏感度，能够熟练运用SQL，精通Excel等统计分析工具。",北京,南京蓝鲸人网络科技有限公司,今天 16:24,数据分析,20k-35k
不限,学历不限,"岗位职责：
1、建立和完善电销运营报表体系，负责数据的收集整理，制作和维护日常报表；
2、监控理财数据指标，跟进和分析策略执行情况，提出策略优化建议；
3、对于指标波动等情况进行数据分析，出具分析报告，提出有效建议。
4、根据当前电销情况，给出合理电销名单及策略
岗位要求：
1、本科及以上学历，数学、统计、金融等理工类专业；
2、2年以上金融行业或银行理财大客户管理或数据分析相关工作经验；
3、精通各类Office办公软件，能熟练使用SQL、EXCEL，擅长Excel VBA操作；
4.精通相关数据分析软件，如 T a b l e a u等
5.有较强的逻辑分析能力、数据敏感性，工作严谨，认真负责。",北京,上海淇毓信息科技有限公司,今天 16:17,数据分析,15k-30k
1-3年,大专及以上,"岗位职责：
1.负责媒体各项投放数据汇总，完成日报、月报等周期分析报表，协助维护及优化现有的BI报表；
2.基于业务需求以及数据特点，制定相关数据报表，使用数据分析工具，洞察数据内在规律，为业务决策提供依据；
3.监控每日投放、竞品等数据，对异常数据进行跟踪分析；
4.逻辑思维严密，有较强的数据分析处理能力, 能够独立完成常规报表输出。

任职要求：
1、大专以上学历，有数据分析者优先；
2、熟悉excel函数应用，熟练使用1种以上数据分析工具(如MYSQL、Power BI等）；
3、对数据敏感，有较强的逻辑分析能力以及业务理解能力；
4、熟悉电商业务，对电商数据有一定了解。",广州,广州素隐商贸有限公司,今天 15:38,数据分析,6k-10k
1-3年,本科及以上,"岗位职责：
1、负责现金贷贷前、贷中、贷后数据分析，设计风控监控报表；
2、推动风控流程进行设计与优化；
3、与业务相关部门紧密合作，推动风险政策与策略在具体业务层面进行落实，及时了解前端需求和变化，在合理控制风险前提下推动业务发展；
4、完成领导安排其他相关工作

岗位要求：
1、经济、数学、统计、计算机等相关专业全日制本科（含）及以上学历，研究生及以上优先；
2、2年及以上在个人信贷行业、互联网金融公司或信用卡中心风控数据分析实践经验；
3. 对数据敏感，具有优秀的数据分析能力和解读能力，对数据监控、风险预警具有独到的见解。
4、熟练使用SQL，熟悉Python、SAS、R等是加分项；
5、具有良好的书面表达能力、严谨的逻辑思维能力、较强的协作精神、沟通能力、研究能力以及创新能力；
6、熟悉互联网金融风控特点；
7、能够接受创业型团队的节奏，对创业团队有特别兴趣、愿意同公司一起发展。",上海,广东省电信规划设计院有限公司,今天 14:57,数据分析,8k-15k
1-3年,本科及以上,岗位职责1.根据各产品线投入产出数据建立ROI预测模型，可合理有效的预测回收周期；2.对投放数据进行日常监控、预警、分析，定期对阶段性投放效果进行分析总结：发现潜在问题，提出合理执行建议；3.游戏内日常数据监控、预警、分析、挖掘工作，对产品调优、产品运营提供有力数据支持;4.定向活动以及功能分析，根据历史数据给出活动及功能制定建议，并对上线后表现分析总结，给出合理改进优化建议；5.开展专题式产品及市场深度分析挖掘，分析建模、数据检验、产出分析报告，指导产品调优、运营策略制定。任职要求1.本科以上学历，1年以上游戏或互联网数据分析经验；数理逻辑清晰，数据敏感度高；数学专业、统计学专业优先；2.熟悉游戏业务指标使用方法及场景，能够独立完成游戏业务分析；3.熟练使用SQL语句、EXCEL；掌握SPSS、R、SAS等其中一种分析工具；4.具有一定的数据挖掘、建模、预测能力；可独立对游戏进行深入挖掘5.良好的沟通能力、文档表达能力、部门协作能力；6.出色的学习能力，能够快速融入业务；能够根据业务需求不断提升自己；7.有独立完成游戏产品数据分析工作者优先。,北京,北京博乐科技有限公司,今天 14:30,数据分析,10k-16k
不限,学历不限,"Position Description:  
1. 对部门的日常话务数据、商机数据、销售进度数据进行支持2. 根据经理需求定期对历史数据进行分析3. 和相关接口人沟通获取数据，把控流程所有节点的数据4. 完成各项业绩报表的设计与定期发布；  
Position Requirements:  
1. 大学专科以上学历，有相关工作经验优先。计算机软件、统计类、数学类相关专业优先2. 具备数据敏感性；良好的逻辑能力和分析能力；3. 性格踏实沉稳；4. 熟练运用Office办公软件，尤其是Excel5. 较好的英语听说读写能力；6. 对于公司数据严格执行保密政策",北京,联想（北京）有限公司,今天 14:17,数据分析,6k-8k
3-5年,本科及以上,"岗位职责：
1.建立资产管理部数据管理体系，搭建资产管理报表体系；
2.进行业务分析，提炼业务策略，挖掘业务改进点，并推进改进项目落地；
3.对客户进行分析，结合业务经验和计量方法，搭建优化客户分群模型；
4.负责资产管理风险政策的制定与优化，优化政策执行及运营管理效率效果。

任职要求：
1.具有相关工作经验3年以上，有贷后策略经验优先；
2.本科及以上学历，硕士及以上学历优先；
3.统计、数学、金融相关专业优先；
4.善于数据处理及分析，掌握SQL、Python等常用分析工具 （懂决策树、计量模型构建更佳）；
5.较强的逻辑思维能力、思考及解决问题的能力；
6.良好的表达沟通能力及执行力。",上海,上海数禾信息科技有限公司,今天 13:36,数据分析,15k-25k
